ticker,company_name,cik,github_owner,huggingface_author,value_chain_bucket,product_focus,include_in_research,identifier_source,primary_stage,secondary_segment,secondary_exposure,upstream_dependencies,downstream_customers
NVDA,NVIDIA,0001045810,NVIDIA,nvidia,compute,AI accelerators and software,true,sec_company_tickers,upstream,ai_compute,Networking and AI software,Foundry and HBM,Cloud platforms and model labs
AMD,Advanced Micro Devices,0000002488,ROCm,amd,compute,AI accelerators and CPUs,true,sec_company_tickers,upstream,ai_compute,CPUs and adaptive compute,Foundry and memory,Cloud platforms and enterprise compute
AVGO,Broadcom,0001730168,broadcom,,semiconductor_networking,AI networking and custom silicon,true,sec_company_tickers,upstream,custom_silicon_networking,Connectivity software,Foundry and packaging,Cloud platforms
TSM,Taiwan Semiconductor Manufacturing,0001046179,,,foundry,Advanced-node semiconductor manufacturing,true,sec_company_tickers,upstream,foundry,Advanced packaging,Semiconductor equipment,AI chip designers
MU,Micron Technology,0000723125,micron,,memory,High-bandwidth memory,true,sec_company_tickers,upstream,memory,Data-center memory,Wafer capacity and equipment,Accelerator and server vendors
ANET,Arista Networks,0001596532,aristanetworks,,networking,AI data-center networking,true,sec_company_tickers,upstream,data_center_networking,Cloud networking software,Merchant silicon,Cloud and hyperscale data centers
MSFT,Microsoft,0000789019,microsoft,microsoft,cloud_platform,Azure AI and enterprise software,true,sec_company_tickers,midstream,cloud_platform,Model platform and enterprise applications,Compute chips and data centers,Enterprises and developers
GOOGL,Alphabet,0001652044,google,google,cloud_model_platform,Google Cloud and foundation models,true,sec_company_tickers,midstream,cloud_model_platform,Consumer AI applications,Compute chips and data centers,Developers enterprises and consumers
AMZN,Amazon,0001018724,aws,amazon,cloud_platform,AWS AI infrastructure and services,true,sec_company_tickers,midstream,cloud_platform,Model hosting and custom silicon,Compute chips and data centers,Enterprises and model labs
ORCL,Oracle,0001341439,oracle,oracle,cloud_platform,Cloud infrastructure and enterprise data,true,sec_company_tickers,midstream,cloud_platform,Enterprise applications,Compute chips and data centers,Enterprises and model labs
META,Meta Platforms,0001326801,facebookresearch,meta-llama,model_application,Open models and consumer AI,true,sec_company_tickers,midstream,foundation_models,Consumer AI and advertising,Compute chips and data centers,Developers and consumers
PLTR,Palantir Technologies,0001321655,palantir,,enterprise_application,Enterprise AI platforms,true,sec_company_tickers,downstream,enterprise_ai_applications,Data platforms,Cloud and model platforms,Government and enterprises
CRM,Salesforce,0001108524,salesforce,Salesforce,enterprise_application,Enterprise agents and CRM AI,true,sec_company_tickers,downstream,enterprise_ai_applications,Data cloud,Cloud and model platforms,Enterprise sales and service teams
NOW,ServiceNow,0001373715,ServiceNow,,enterprise_application,Enterprise workflow AI,true,sec_company_tickers,downstream,enterprise_ai_applications,Workflow data,Cloud and model platforms,Enterprise IT teams
ADBE,Adobe,0000796343,adobe,adobe,enterprise_application,Creative and document AI,true,sec_company_tickers,downstream,creative_productivity_apps,Foundation models,Cloud and compute infrastructure,Creative and document users
SNOW,Snowflake,0001640147,snowflakedb,Snowflake,data_platform,Cloud data and AI platform,true,sec_company_tickers,midstream,data_platform,Model hosting,Cloud infrastructure,Enterprises and AI applications
NET,Cloudflare,0001477333,cloudflare,cloudflare,developer_infrastructure,Edge compute and AI inference,true,sec_company_tickers,midstream,developer_infrastructure,Edge inference,Compute and network infrastructure,Developers and internet applications
DDOG,Datadog,0001561550,DataDog,datadog,developer_infrastructure,Cloud observability and AI operations,true,sec_company_tickers,midstream,developer_infrastructure,AI operations,Cloud infrastructure,Developers and enterprise IT
MDB,MongoDB,0001441816,mongodb,mongodb,data_platform,Developer data platform,true,sec_company_tickers,midstream,data_platform,Vector search,Cloud infrastructure,Developers and AI applications
ESTC,Elastic,0001707753,elastic,elastic,data_platform,Search observability and AI applications,true,sec_company_tickers,midstream,data_platform,Observability and search,Cloud infrastructure,Developers and enterprises
